trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.95}",25,0,-123.70102588631627,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.8999999999999999}",25,0,-122.00987437983832,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.8499999999999999}",25,0,-104.375804372173,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.7999999999999998}",25,0,-161.4672062854225,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.7, 'e': 0.7499999999999998}",25,0,-143.9650074363663,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.6999999999999997}",25,0,-60.751680484236225,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.6499999999999997}",20,0,3.349421766329696,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.5999999999999996}",30,0,-56.90832714542893,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.5499999999999996}",25,0,-135.89991337964182,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.7, 'e': 0.4999999999999996}",20,0,-84.18195975436282,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.4499999999999996}",20,5,-27.56566594271482,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.7, 'e': 0.39999999999999963}",20,0,20.352414721613677,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.34999999999999964}",30,16,20.291609488437583,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.29999999999999966}",30,16,-22.945814896401444,"{0: 10, 1: 3, 2: 0, 3: 1, 4: 0}",1
