trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-127.52423116125966,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-73.75558891895514,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-183.89522695876593,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-76.30623869710352,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-160.4288211892216,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-84.26054219925892,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-177.39591181346663,"{0: 11, 1: 2, 2: 8, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-182.15007784714126,"{0: 13, 1: 5, 2: 9, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-41.229505259438156,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-154.7213227992612,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-167.17950822637067,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-127.2024228716082,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-129.30783222775793,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-167.26655031176549,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-24.540381056192743,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-246.55384446977135,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 5}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,6,-81.17825254763889,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-27.237043472875207,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-152.20734908575974,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-127.67869254371847,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-155.50167372081134,"{0: 12, 1: 2, 2: 6, 3: 5, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-96.76181638839938,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-202.49740682031626,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-104.551200065942,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-157.82653133264603,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-59.628045878330646,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-93.02624907379715,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-181.74077267594646,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-141.60751160083993,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-68.00962286043485,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
